kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,num_measurements
"layer_norm_(6,3,128,512)",6,3,128,512,1179648,27.5936606,27.557142,27.767143,0.06470812536510936,10
"layer_norm_(6,3,256,128)",6,3,256,128,589824,14.465741100000002,14.458571,14.475804,0.0065856541807850525,10
"layer_norm_(6,3,256,256)",6,3,256,256,1179648,27.936723399999998,27.900089,28.091429,0.06594105439152971,10
"layer_norm_(6,3,256,384)",6,3,256,384,1769472,40.025982,40.018572,40.037053,0.0064334644200795005,10
"layer_norm_(6,3,256,512)",6,3,256,512,2359296,52.6948658,52.635803,52.978571,0.11929797349103057,10
"layer_norm_(6,3,384,128)",6,3,384,128,884736,22.849133899999998,22.847143,22.851428,0.0016388978308603138,10
"layer_norm_(6,3,384,256)",6,3,384,256,1769472,40.3718481,40.315804,40.585714,0.10902941770656853,10
"layer_norm_(6,3,384,384)",6,3,384,384,2654208,62.05598210000001,61.938571,62.258571,0.1428126986926511,10
"layer_norm_(6,3,384,512)",6,3,384,512,3538944,78.85287509999999,78.775715,79.145715,0.13324931434090767,10
"layer_norm_(6,3,512,128)",6,3,512,128,1179648,27.322026800000003,27.311518,27.331339,0.00774467844250325,10
"layer_norm_(6,3,512,256)",6,3,512,256,2359296,52.3641071,52.21991,52.515625,0.12063293584207371,10
"layer_norm_(6,3,512,384)",6,3,512,384,3538944,78.35015200000001,78.338483,78.357054,0.008041325167189601,10
"layer_norm_(6,3,512,512)",6,3,512,512,4718592,104.2674375,104.217232,104.537232,0.09862374181622632,10
"layer_norm_(6,64,128,128)",6,64,128,128,6291456,237.6398572,237.21,238.14,0.27775151618539695,10
"layer_norm_(6,64,128,256)",6,64,128,256,12582912,293.5458658,293.288571,293.944375,0.20175070843703027,10
"layer_norm_(6,64,128,384)",6,64,128,384,18874368,471.46283030000006,471.372857,471.601428,0.09807902377170943,10
"layer_norm_(6,64,128,512)",6,64,128,512,25165824,566.5268480000001,566.46,566.682857,0.10345715312791522,10
