kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,predicted_duration_us,residuals
"layer_norm_(4,256,256,384)",4,256,256,384,100663296,2229.6267321,2115.436492420081,114.19023967991916
"layer_norm_(4,256,256,512)",4,256,256,512,134217728,2925.1079819999995,2821.64850521641,103.45947678358971
"layer_norm_(4,256,384,128)",4,256,384,128,50331648,724.2271519,1056.118473225587,-331.891321325587
"layer_norm_(4,256,384,256)",4,256,384,256,100663296,2229.7132949,2115.436492420081,114.2768024799193
"layer_norm_(4,256,384,384)",4,256,384,384,150994944,2233.1388394,3174.754511614574,-941.6156722145738
"layer_norm_(4,256,384,512)",4,256,384,512,201326592,4401.7178304,4234.072530809068,167.64529959093215
"layer_norm_(4,256,512,128)",4,256,512,128,67108864,1508.5362859000002,1409.2244796237514,99.31180627624872
"layer_norm_(4,256,512,256)",4,256,512,256,134217728,2900.6661159,2821.64850521641,79.01761068359019
"layer_norm_(4,256,512,384)",4,256,512,384,201326592,4401.812285499999,4234.072530809068,167.73975469093148
"layer_norm_(4,256,512,512)",4,256,512,512,268435456,5843.3652588,5646.496556401726,196.86870239827476
"layer_norm_(4,512,128,128)",4,512,128,128,33554432,521.3582945,703.0124668274224,-181.65417232742232
"layer_norm_(4,512,128,256)",4,512,128,256,67108864,1561.3845711999998,1409.2244796237514,152.1600915762483
"layer_norm_(4,512,128,384)",4,512,128,384,100663296,1484.0255625999998,2115.436492420081,-631.410929820081
"layer_norm_(4,512,128,512)",4,512,128,512,134217728,3016.592982,2821.64850521641,194.9444767835903
"layer_norm_(4,512,256,128)",4,512,256,128,67108864,1559.2068482,1409.2244796237514,149.98236857624852
"layer_norm_(4,512,256,256)",4,512,256,256,134217728,3049.7597232,2821.64850521641,228.11121798359
"layer_norm_(4,512,256,384)",4,512,256,384,201326592,4458.0281786,4234.072530809068,223.95564779093183
"layer_norm_(4,512,256,512)",4,512,256,512,268435456,5848.8154196,5646.496556401726,202.3188631982739
"layer_norm_(4,512,384,128)",4,512,384,128,100663296,1470.6777142,2115.436492420081,-644.7587782200808
"layer_norm_(4,512,384,256)",4,512,384,256,201326592,4458.1216874,4234.072530809068,224.0491565909324
"layer_norm_(4,512,384,384)",4,512,384,384,301989888,4448.2383035,6352.708569198055,-1904.4702656980544
"layer_norm_(4,512,384,512)",4,512,384,512,402653184,8801.956866,8471.344607587043,330.6122584129571
"layer_norm_(4,512,512,128)",4,512,512,128,134217728,3016.5395712,2821.64850521641,194.89106598359012
"layer_norm_(4,512,512,256)",4,512,512,256,268435456,5800.0451429,5646.496556401726,153.54858649827474
"layer_norm_(4,512,512,384)",4,512,512,384,402653184,8802.1548748,8471.344607587043,330.8102672129571
"layer_norm_(4,512,512,512)",4,512,512,512,536870912,11685.0388661,11296.19265877236,388.8462073276405
"layer_norm_(6,3,128,128)",6,3,128,128,294912,12.0294016,3.007395549811031,9.022006050188969
"layer_norm_(6,3,128,256)",6,3,128,256,589824,14.743151700000002,9.214337068528767,5.528814631471235
"layer_norm_(6,3,128,384)",6,3,128,384,884736,23.115294400000003,15.421278587246505,7.6940158127534986
"layer_norm_(6,3,128,512)",6,3,128,512,1179648,27.5936606,21.62822010596424,5.965440494035761
"layer_norm_(6,3,256,128)",6,3,256,128,589824,14.465741100000002,9.214337068528767,5.251404031471235
"layer_norm_(6,3,256,256)",6,3,256,256,1179648,27.9367234,21.62822010596424,6.308503294035763
"layer_norm_(6,3,256,384)",6,3,256,384,1769472,40.025982,34.042103143399714,5.983878856600285
"layer_norm_(6,3,256,512)",6,3,256,512,2359296,52.6948658,46.45598618083518,6.23887961916482
"layer_norm_(6,3,384,128)",6,3,384,128,884736,22.8491339,15.421278587246505,7.427855312753497
"layer_norm_(6,3,384,256)",6,3,384,256,1769472,40.3718481,34.042103143399714,6.329744956600287
"layer_norm_(6,3,384,384)",6,3,384,384,2654208,62.05598210000001,52.66292769955292,9.393054400447092
"layer_norm_(6,3,384,512)",6,3,384,512,3538944,78.85287509999999,71.28375225570613,7.569122844293858
"layer_norm_(6,3,512,128)",6,3,512,128,1179648,27.322026800000003,21.62822010596424,5.693806694035764
"layer_norm_(6,3,512,256)",6,3,512,256,2359296,52.3641071,46.45598618083518,5.908120919164816
"layer_norm_(6,3,512,384)",6,3,512,384,3538944,78.35015200000001,71.28375225570613,7.066399744293875
"layer_norm_(6,3,512,512)",6,3,512,512,4718592,104.2674375,96.11151833057707,8.15591916942293
"layer_norm_(6,64,128,128)",6,64,128,128,6291456,237.6398572,129.215206430405,108.42465076959499
"layer_norm_(6,64,128,256)",6,64,128,256,12582912,293.5458658,261.6299588297167,31.915906970283288
"layer_norm_(6,64,128,384)",6,64,128,384,18874368,471.46283030000006,394.0447112290284,77.41811907097167
"layer_norm_(6,64,128,512)",6,64,128,512,25165824,566.5268480000001,526.4594636283401,40.067384371659955
"layer_norm_(6,64,256,128)",6,64,256,128,12582912,292.9751340000001,261.6299588297167,31.34517517028337
"layer_norm_(6,64,256,256)",6,64,256,256,25165824,572.7865536,526.4594636283401,46.327089971659916
"layer_norm_(6,64,256,384)",6,64,256,384,37748736,836.5152586,791.2889684269635,45.226290173036546
"layer_norm_(6,64,256,512)",6,64,256,512,50331648,1097.803143,1056.118473225587,41.68466977441312
