kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_48x96x64,48,96,64,1.1061875,1.06,1.332857,0.080382196884961,20
matmul_48x96x80,48,96,80,1.10614275,1.074286,1.277142,0.06950931371207521,20
matmul_48x96x96,48,96,96,1.12106705,1.087054,1.265804,0.05394641255666783,20
matmul_64x112x112,64,112,112,1.2016563,1.118571,1.412858,0.07225990426967888,20
matmul_64x112x128,64,112,128,1.1640535,1.102946,1.359911,0.0772021760332127,20
matmul_64x112x32,64,112,32,1.2112767,1.181339,1.384285,0.06233050477060087,20
matmul_64x112x48,64,112,48,1.22069195,1.167143,1.458482,0.07952548228578588,20
matmul_64x112x64,64,112,64,1.17800925,1.145714,1.345715,0.06550232733259823,20
matmul_64x112x80,64,112,80,1.1360803,1.098482,1.288571,0.06443107375948344,20
matmul_64x112x96,64,112,96,1.12979465,1.097054,1.348571,0.05379611168718911,20
matmul_64x128x112,64,128,112,1.15723655,1.114196,1.34,0.059227580015319345,20
matmul_64x128x128,64,128,128,1.17040625,1.117053,1.351339,0.059777558304341526,20
matmul_64x128x32,64,128,32,1.1956562,1.154286,1.278572,0.03706908972886059,20
matmul_64x128x48,64,128,48,1.2215847,1.168571,1.44991,0.07001920177170952,20
matmul_64x128x64,64,128,64,1.17621885,1.091429,1.3,0.05479926576657087,20
matmul_64x128x80,64,128,80,1.135509,1.08,1.325714,0.07868904314418473,20
matmul_64x128x96,64,128,96,1.1468705,1.088661,1.337143,0.059654251936074355,20
matmul_64x32x112,64,32,112,1.0471294,1.011339,1.195625,0.044649615994576675,20
matmul_64x32x128,64,32,128,1.0342186,1.008571,1.037054,0.006085204432841464,20
matmul_64x32x32,64,32,32,1.15922775,1.114375,1.349911,0.059617766519081274,20
matmul_64x32x48,64,32,48,1.04387065,0.991428,1.221429,0.06649049365869017,20
matmul_64x32x64,64,32,64,1.0450043,1.005714,1.160089,0.03906055753785934,20
matmul_64x32x80,64,32,80,1.07904905,1.008571,1.21,0.06690121077299054,20
matmul_64x32x96,64,32,96,1.03059365,1.012858,1.034285,0.004453866673435188,20
matmul_64x48x112,64,48,112,1.0824912500000001,1.029911,1.29009,0.061609618802906684,20
matmul_64x48x128,64,48,128,1.07314735,1.057053,1.245715,0.04336801857211201,20
matmul_64x48x32,64,48,32,1.1935893,1.141518,1.31866,0.05708305909913892,20
matmul_64x48x48,64,48,48,1.1849287,1.145714,1.368482,0.05338816526367107,20
matmul_64x48x64,64,48,64,1.095732,1.037232,1.264375,0.06965665631623366,20
matmul_64x48x80,64,48,80,1.0767276,1.031517,1.335715,0.06802256043665143,20
matmul_64x48x96,64,48,96,1.08849095,1.027054,1.298571,0.07821321107108438,20
matmul_64x64x112,64,64,112,1.2074376,1.09134,1.425715,0.10238768868138297,20
matmul_64x64x128,64,64,128,1.15056265,1.091429,1.234286,0.023566400931645307,20
matmul_64x64x32,64,64,32,1.23098215,1.161428,1.382857,0.07005400947034406,20
matmul_64x64x48,64,64,48,1.20339735,1.165714,1.387143,0.051472265648369465,20
matmul_64x64x64,64,64,64,1.20365615,1.15,1.384375,0.08887510472110198,20
matmul_64x64x80,64,64,80,1.1754017,1.091429,1.327054,0.06348869583435594,20
matmul_64x64x96,64,64,96,1.1728706,1.154286,1.3,0.0441739925002317,20
matmul_64x80x112,64,80,112,1.1564865,1.097142,1.305625,0.07880571644807713,20
matmul_64x80x128,64,80,128,1.1464374,1.077232,1.327143,0.07968778514625556,20
matmul_64x80x32,64,80,32,1.2089286,1.172767,1.374285,0.0718749332619553,20
matmul_64x80x48,64,80,48,1.2175759,1.164375,1.427054,0.06876146871605837,20
matmul_64x80x64,64,80,64,1.1968482999999999,1.092768,1.388571,0.08378575518239488,20
matmul_64x80x80,64,80,80,1.1392633,1.099911,1.281429,0.06874747528539346,20
matmul_64x80x96,64,80,96,1.11077665,1.072857,1.23,0.034434439508135926,20
matmul_64x96x112,64,96,112,1.1440893,1.105714,1.308661,0.067592071218372,20
matmul_64x96x128,64,96,128,1.1179151,1.097143,1.211428,0.02312343768127912,20
matmul_64x96x32,64,96,32,1.1882143,1.162857,1.237143,0.012830694189284847,20
matmul_64x96x48,64,96,48,1.1943438,1.17,1.282768,0.02136366795236592,20
matmul_64x96x64,64,96,64,1.2101966,1.091429,1.388483,0.09712779033255214,20
matmul_64x96x80,64,96,80,1.1247231,1.099911,1.285714,0.049371532591266865,20
matmul_64x96x96,64,96,96,1.1497098000000001,1.091339,1.340089,0.07295397662737357,20
matmul_80x112x112,80,112,112,1.20008025,1.147232,1.394197,0.08489678623318837,20
matmul_80x112x128,80,112,128,1.1573749,1.124375,1.262857,0.027782282619835626,20
matmul_80x112x32,80,112,32,1.22877655,1.185714,1.34866,0.04278782951589831,20
matmul_80x112x48,80,112,48,1.2493753,1.205715,1.405715,0.073260259608503,20
matmul_80x112x64,80,112,64,1.24738385,1.212857,1.460089,0.06477934232313894,20
matmul_80x112x80,80,112,80,1.22943295,1.190089,1.408572,0.07216629350945014,20
matmul_80x112x96,80,112,96,1.1685581,1.11,1.384196,0.06911485682231006,20
matmul_80x128x112,80,128,112,1.1819733,1.152768,1.377054,0.05760458444484397,20
matmul_80x128x128,80,128,128,1.19663835,1.138572,1.382857,0.06455252509658115,20
matmul_80x128x32,80,128,32,1.2389777,1.182857,1.422857,0.07663910086969829,20
matmul_80x128x48,80,128,48,1.2292992,1.19,1.364286,0.04274847440134099,20
matmul_80x128x64,80,128,64,1.2230892500000001,1.191429,1.288571,0.023000167161577875,20
