kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_2560x2560x2560,2560,2560,2560,245.5172857,245.4,245.627143,0.09088300591548,10,1176800
matmul_2560x2560x3072,2560,2560,3072,287.4705533,287.255803,287.762857,0.1928265158213156,10,1412160
matmul_2560x2560x3584,2560,2560,3584,320.6597322,320.397143,320.805714,0.155630681912726,10,1647520
matmul_2560x2560x4096,2560,2560,4096,401.3401072,401.072768,401.484286,0.1454529506051204,10,1882880
matmul_2560x3072x1024,2560,3072,1024,140.417,140.065625,140.60009,0.1631070756398264,10,552640
matmul_2560x3072x1536,2560,3072,1536,217.0765713,216.84,217.182857,0.1011424432977239,10,828960
matmul_2560x3072x2048,2560,3072,2048,293.8498659,293.787143,293.924375,0.0414575476212322,10,1105280
matmul_2560x3072x2560,2560,3072,2560,324.7444464,324.657143,324.802946,0.0454558929908994,10,1381600
matmul_2560x3072x3072,2560,3072,3072,355.9635624,355.794196,356.074286,0.0983830753299419,10,1657920
matmul_2560x3072x3584,2560,3072,3584,410.0045889,409.827053,410.145803,0.1447768972188692,10,1934240
matmul_2560x3072x4096,2560,3072,4096,461.0114823,460.792946,461.168572,0.1291308535763045,10,2210560
matmul_2560x3584x1024,2560,3584,1024,164.9901252,164.799911,165.131429,0.1255816813771459,10,634560
matmul_2560x3584x1536,2560,3584,1536,259.1945535,258.984285,259.301339,0.0967286524381456,10,951840
matmul_2560x3584x2048,2560,3584,2048,300.8598572,300.675804,300.94,0.0815351546168792,10,1269120
matmul_2560x3584x2560,2560,3584,2560,364.3307409,364.227053,364.447232,0.0629204803973406,10,1586400
matmul_2560x3584x3072,2560,3584,3072,427.733857,427.52134,427.998571,0.1646842925519404,10,1903680
matmul_2560x3584x3584,2560,3584,3584,494.8250179,494.581429,494.982946,0.1524248903678696,10,2220960
matmul_2560x3584x4096,2560,3584,4096,554.7377142,554.547233,554.902857,0.1167435334424353,10,2538240
matmul_2560x4096x1024,2560,4096,1024,185.3138394,185.097232,185.448571,0.1224597527600193,10,716480
matmul_2560x4096x1536,2560,4096,1536,287.8302766,287.732857,287.912768,0.0618880707715309,10,1074720
matmul_2560x4096x2048,2560,4096,2048,332.9365805,332.777142,333.114286,0.0896083421714832,10,1432960
matmul_2560x4096x2560,2560,4096,2560,466.290134,466.052768,466.432768,0.1329359436236522,10,1791200
matmul_2560x4096x3072,2560,4096,3072,472.7921429,472.595625,473.031429,0.1538627610310529,10,2149440
matmul_2560x4096x3584,2560,4096,3584,545.0234465999999,544.718572,545.248572,0.1826744447146909,10,2507680
matmul_2560x4096x4096,2560,4096,4096,612.7415713,612.538482,612.915625,0.1306821175337886,10,2865920
matmul_3072x1024x1024,3072,1024,1024,81.1371341,81.068483,81.41,0.1076446378986061,10,221056
matmul_3072x1024x1536,3072,1024,1536,113.9997321,113.908571,114.222857,0.1399581997553802,10,331584
matmul_3072x1024x2048,3072,1024,2048,147.0345537,146.845625,147.21,0.1169750748692974,10,442112
matmul_3072x1024x2560,3072,1024,2560,129.5235624,129.275714,129.667054,0.1435831971863943,10,552640
matmul_3072x1024x3072,3072,1024,3072,141.6848661,141.505714,141.862857,0.1329972652153608,10,663168
matmul_3072x1024x3584,3072,1024,3584,161.7666963,161.589911,161.968482,0.1429085288241268,10,773696
matmul_3072x1024x4096,3072,1024,4096,195.6445712,195.474286,195.765804,0.101294777832704,10,884224
matmul_3072x1536x1024,3072,1536,1024,97.5284643,97.384375,97.744375,0.1452122946562885,10,331584
matmul_3072x1536x1536,3072,1536,1536,135.1841609,134.9,135.368571,0.1350303501542041,10,497376
matmul_3072x1536x2048,3072,1536,2048,183.4383035,183.202857,183.517143,0.0914060468450181,10,663168
matmul_3072x1536x2560,3072,1536,2560,213.4561252,213.272857,213.69,0.1723329990246934,10,828960
matmul_3072x1536x3072,3072,1536,3072,206.9298751,206.682946,207.082857,0.1415132662854129,10,994752
matmul_3072x1536x3584,3072,1536,3584,228.2296876,228.077053,228.327143,0.0978146606146284,10,1160544
matmul_3072x1536x4096,3072,1536,4096,249.9424195,249.768571,250.214285,0.1925866940963067,10,1326336
matmul_3072x2048x1024,3072,2048,1024,115.9303929,115.789911,116.15,0.1257111466607732,10,442112
matmul_3072x2048x1536,3072,2048,1536,169.7234287,169.478482,169.852858,0.1319117992734781,10,663168
matmul_3072x2048x2048,3072,2048,2048,209.9654197,209.75866,210.197054,0.1794005606401857,10,884224
matmul_3072x2048x2560,3072,2048,2560,253.7269731,253.451429,253.814196,0.1092777589706887,10,1105280
matmul_3072x2048x3072,3072,2048,3072,278.1199999,277.935625,278.278482,0.1355336837169174,10,1326336
matmul_3072x2048x3584,3072,2048,3584,318.0045804,317.84,318.294286,0.1774456973512963,10,1547392
matmul_3072x2048x4096,3072,2048,4096,386.4514194,386.285625,386.665625,0.139275560706268,10,1768448
matmul_3072x2560x1024,3072,2560,1024,134.3454462,134.164286,134.538571,0.1218903068188717,10,552640
matmul_3072x2560x1536,3072,2560,1536,266.1915892,266.041518,266.355625,0.1284461172604541,10,828960
matmul_3072x2560x2048,3072,2560,2048,249.1894374,248.921428,249.377143,0.1667698468390255,10,1105280
matmul_3072x2560x2560,3072,2560,2560,284.650259,284.405714,284.917143,0.1733493971723033,10,1381600
matmul_3072x2560x3072,3072,2560,3072,352.8991518,352.687143,353.02,0.1137051406995796,10,1657920
matmul_3072x2560x3584,3072,2560,3584,402.1332679,401.939911,402.329911,0.1499918091515137,10,1934240
matmul_3072x2560x4096,3072,2560,4096,456.5632411,456.371429,456.701339,0.1224452277328414,10,2210560
matmul_3072x3072x1024,3072,3072,1024,171.4964018,171.317232,171.654286,0.133568260080173,10,663168
matmul_3072x3072x1536,3072,3072,1536,265.4755981,265.280089,265.591429,0.0987963922558343,10,994752
matmul_3072x3072x2048,3072,3072,2048,312.4267233,312.234286,312.581428,0.1350766242874737,10,1326336
matmul_3072x3072x2560,3072,3072,2560,355.1174196,354.895625,355.385714,0.1875541193748786,10,1657920
matmul_3072x3072x3072,3072,3072,3072,414.3724197,414.232768,414.620089,0.1324828024596677,10,1989504
matmul_3072x3072x3584,3072,3072,3584,474.1402858,473.942768,474.562946,0.21470464797319,10,2321088
matmul_3072x3072x4096,3072,3072,4096,493.3499823,493.144286,493.528572,0.1354137311066887,10,2652672
matmul_3072x3584x1024,3072,3584,1024,189.2678662,189.025625,189.344286,0.0953452126687286,10,761472
matmul_3072x3584x1536,3072,3584,1536,288.8374107,288.765714,288.95,0.053009570276505,10,1142208
matmul_3072x3584x2048,3072,3584,2048,343.4661249,343.151428,343.682768,0.1469093137970531,10,1522944
matmul_3072x3584x2560,3072,3584,2560,466.6742947,466.522858,466.895804,0.137118954503053,10,1903680
matmul_3072x3584x3072,3072,3584,3072,487.1758662,487.078571,487.315625,0.0762644122289145,10,2284416
matmul_3072x3584x3584,3072,3584,3584,564.376134,564.211428,564.498661,0.1023985864767728,10,2665152
matmul_3072x3584x4096,3072,3584,4096,630.8568752,630.645715,631.101429,0.1272900380066628,10,3045888
matmul_3072x4096x1024,3072,4096,1024,233.5315536,233.424375,233.872768,0.1414948387140402,10,859776
matmul_3072x4096x1536,3072,4096,1536,334.9673213,334.808571,335.124286,0.0960556863549646,10,1289664
matmul_3072x4096x2048,3072,4096,2048,487.1051607,486.974286,487.251429,0.1015194680301343,10,1719552
matmul_3072x4096x2560,3072,4096,2560,514.8332677,514.527143,515.014285,0.175126044571105,10,2149440
matmul_3072x4096x3072,3072,4096,3072,543.7942678000001,543.434286,544.017143,0.169686931077201,10,2579328
matmul_3072x4096x3584,3072,4096,3584,621.0054733,620.935804,621.101429,0.0553000506550913,10,3009216
matmul_3072x4096x4096,3072,4096,4096,791.9644553,791.768482,792.182857,0.1238005319635615,10,3439104
matmul_3584x1024x1024,3584,1024,1024,96.0147412,95.895804,96.231518,0.1367379261749362,10,253824
matmul_3584x1024x1536,3584,1024,1536,97.7861428,97.72,97.855625,0.0460776148562878,10,380736
matmul_3584x1024x2048,3584,1024,2048,127.8086966,127.621429,128.001339,0.1619823299239759,10,507648
matmul_3584x1024x2560,3584,1024,2560,154.4828304,154.202857,154.74,0.1706808006876562,10,634560
